"Comunidad autónoma","Provincia","Año","Número de denuncias por violencia de género"
"Andalucía","Almería","Año 2009","2604.0"
"Andalucía","Almería","Año 2010","2752.0"
"Andalucía","Almería","Año 2011","2357.0"
"Andalucía","Almería","Año 2012","2123.0"
"Andalucía","Almería","Año 2013","2079.0"
"Andalucía","Almería","Año 2014","2084.0"
"Andalucía","Almería","Año 2015","2306.0"
"Andalucía","Almería","Año 2016","2675.0"
"Andalucía","Almería","Año 2017","3299.0"
"Andalucía","Almería","Año 2018","4352.0"
"Andalucía","Almería","Año 2019","3859.0"
"Andalucía","Almería","Año 2020","3365.0"
"Andalucía","Almería","Año 2021","2345.0"
"Andalucía","Cádiz","Año 2009","3693.0"
"Andalucía","Cádiz","Año 2010","3803.0"
"Andalucía","Cádiz","Año 2011","3427.0"
"Andalucía","Cádiz","Año 2012","3462.0"
"Andalucía","Cádiz","Año 2013","3733.0"
"Andalucía","Cádiz","Año 2014","3806.0"
"Andalucía","Cádiz","Año 2015","3766.0"
"Andalucía","Cádiz","Año 2016","3741.0"
"Andalucía","Cádiz","Año 2017","4038.0"
"Andalucía","Cádiz","Año 2018","4156.0"
"Andalucía","Cádiz","Año 2019","4485.0"
"Andalucía","Cádiz","Año 2020","5027.0"
"Andalucía","Cádiz","Año 2021","3819.0"
"Andalucía","Córdoba","Año 2009","1335.0"
"Andalucía","Córdoba","Año 2010","1026.0"
"Andalucía","Córdoba","Año 2011","1224.0"
"Andalucía","Córdoba","Año 2012","1174.0"
"Andalucía","Córdoba","Año 2013","1627.0"
"Andalucía","Córdoba","Año 2014","1653.0"
"Andalucía","Córdoba","Año 2015","1638.0"
"Andalucía","Córdoba","Año 2016","1511.0"
"Andalucía","Córdoba","Año 2017","1803.0"
"Andalucía","Córdoba","Año 2018","1826.0"
"Andalucía","Córdoba","Año 2019","1933.0"
"Andalucía","Córdoba","Año 2020","2039.0"
"Andalucía","Córdoba","Año 2021","1831.0"
"Andalucía","Granada","Año 2009","3888.0"
"Andalucía","Granada","Año 2010","3683.0"
"Andalucía","Granada","Año 2011","3347.0"
"Andalucía","Granada","Año 2012","3447.0"
"Andalucía","Granada","Año 2013","3293.0"
"Andalucía","Granada","Año 2014","3447.0"
"Andalucía","Granada","Año 2015","3486.0"
"Andalucía","Granada","Año 2016","3883.0"
"Andalucía","Granada","Año 2017","4082.0"
"Andalucía","Granada","Año 2018","3555.0"
"Andalucía","Granada","Año 2019","3783.0"
"Andalucía","Granada","Año 2020","3981.0"
"Andalucía","Granada","Año 2021","3632.0"
"Andalucía","Huelva","Año 2009","2103.0"
"Andalucía","Huelva","Año 2010","1712.0"
"Andalucía","Huelva","Año 2011","1466.0"
"Andalucía","Huelva","Año 2012","1621.0"
"Andalucía","Huelva","Año 2013","1640.0"
"Andalucía","Huelva","Año 2014","1600.0"
"Andalucía","Huelva","Año 2015","1616.0"
"Andalucía","Huelva","Año 2016","1932.0"
"Andalucía","Huelva","Año 2017","2394.0"
"Andalucía","Huelva","Año 2018","2216.0"
"Andalucía","Huelva","Año 2019","2327.0"
"Andalucía","Huelva","Año 2020","2403.0"
"Andalucía","Huelva","Año 2021","1921.0"
"Andalucía","Jaén","Año 2009","1634.0"
"Andalucía","Jaén","Año 2010","1531.0"
"Andalucía","Jaén","Año 2011","1422.0"
"Andalucía","Jaén","Año 2012","1461.0"
"Andalucía","Jaén","Año 2013","1472.0"
"Andalucía","Jaén","Año 2014","1705.0"
"Andalucía","Jaén","Año 2015","1482.0"
"Andalucía","Jaén","Año 2016","1698.0"
"Andalucía","Jaén","Año 2017","2000.0"
"Andalucía","Jaén","Año 2018","2031.0"
"Andalucía","Jaén","Año 2019","2074.0"
"Andalucía","Jaén","Año 2020","1889.0"
"Andalucía","Jaén","Año 2021","1479.0"
"Andalucía","Málaga","Año 2009","5168.0"
"Andalucía","Málaga","Año 2010","5517.0"
"Andalucía","Málaga","Año 2011","5981.0"
"Andalucía","Málaga","Año 2012","6322.0"
"Andalucía","Málaga","Año 2013","6209.0"
"Andalucía","Málaga","Año 2014","5923.0"
"Andalucía","Málaga","Año 2015","6177.0"
"Andalucía","Málaga","Año 2016","6722.0"
"Andalucía","Málaga","Año 2017","7854.0"
"Andalucía","Málaga","Año 2018","7978.0"
"Andalucía","Málaga","Año 2019","8130.0"
"Andalucía","Málaga","Año 2020","6656.0"
"Andalucía","Málaga","Año 2021","5208.0"
"Andalucía","Sevilla","Año 2009","5718.0"
"Andalucía","Sevilla","Año 2010","7023.0"
"Andalucía","Sevilla","Año 2011","7826.0"
"Andalucía","Sevilla","Año 2012","6581.0"
"Andalucía","Sevilla","Año 2013","6423.0"
"Andalucía","Sevilla","Año 2014","6692.0"
"Andalucía","Sevilla","Año 2015","7111.0"
"Andalucía","Sevilla","Año 2016","7250.0"
"Andalucía","Sevilla","Año 2017","9101.0"
"Andalucía","Sevilla","Año 2018","7745.0"
"Andalucía","Sevilla","Año 2019","7386.0"
"Andalucía","Sevilla","Año 2020","5487.0"
"Andalucía","Sevilla","Año 2021","4447.0"
"Aragón","Huesca","Año 2009","371.0"
"Aragón","Huesca","Año 2010","334.0"
"Aragón","Huesca","Año 2011","378.0"
"Aragón","Huesca","Año 2012","308.0"
"Aragón","Huesca","Año 2013","312.0"
"Aragón","Huesca","Año 2014","293.0"
"Aragón","Huesca","Año 2015","303.0"
"Aragón","Huesca","Año 2016","287.0"
"Aragón","Huesca","Año 2017","402.0"
"Aragón","Huesca","Año 2018","441.0"
"Aragón","Huesca","Año 2019","414.0"
"Aragón","Huesca","Año 2020","385.0"
"Aragón","Huesca","Año 2021","353.0"
"Aragón","Teruel","Año 2009","155.0"
"Aragón","Teruel","Año 2010","183.0"
"Aragón","Teruel","Año 2011","169.0"
"Aragón","Teruel","Año 2012","127.0"
"Aragón","Teruel","Año 2013","130.0"
"Aragón","Teruel","Año 2014","157.0"
"Aragón","Teruel","Año 2015","143.0"
"Aragón","Teruel","Año 2016","191.0"
"Aragón","Teruel","Año 2017","200.0"
"Aragón","Teruel","Año 2018","228.0"
"Aragón","Teruel","Año 2019","204.0"
"Aragón","Teruel","Año 2020","165.0"
"Aragón","Teruel","Año 2021","149.0"
"Aragón","Zaragoza","Año 2009","2322.0"
"Aragón","Zaragoza","Año 2010","2056.0"
"Aragón","Zaragoza","Año 2011","2845.0"
"Aragón","Zaragoza","Año 2012","2793.0"
"Aragón","Zaragoza","Año 2013","2632.0"
"Aragón","Zaragoza","Año 2014","2791.0"
"Aragón","Zaragoza","Año 2015","2189.0"
"Aragón","Zaragoza","Año 2016","2684.0"
"Aragón","Zaragoza","Año 2017","3258.0"
"Aragón","Zaragoza","Año 2018","3384.0"
"Aragón","Zaragoza","Año 2019","3626.0"
"Aragón","Zaragoza","Año 2020","2727.0"
"Aragón","Zaragoza","Año 2021","2566.0"
"Principado de Asturias","Asturias","Año 2009","2373.0"
"Principado de Asturias","Asturias","Año 2010","2147.0"
"Principado de Asturias","Asturias","Año 2011","2656.0"
"Principado de Asturias","Asturias","Año 2012","2431.0"
"Principado de Asturias","Asturias","Año 2013","2438.0"
"Principado de Asturias","Asturias","Año 2014","2486.0"
"Principado de Asturias","Asturias","Año 2015","2359.0"
"Principado de Asturias","Asturias","Año 2016","2747.0"
"Principado de Asturias","Asturias","Año 2017","2711.0"
"Principado de Asturias","Asturias","Año 2018","3109.0"
"Principado de Asturias","Asturias","Año 2019","2889.0"
"Principado de Asturias","Asturias","Año 2020","2650.0"
"Principado de Asturias","Asturias","Año 2021","1908.0"
"Illes Balears","Illes Balears","Año 2009","4453.0"
"Illes Balears","Illes Balears","Año 2010","4231.0"
"Illes Balears","Illes Balears","Año 2011","4417.0"
"Illes Balears","Illes Balears","Año 2012","4739.0"
"Illes Balears","Illes Balears","Año 2013","4372.0"
"Illes Balears","Illes Balears","Año 2014","4687.0"
"Illes Balears","Illes Balears","Año 2015","4658.0"
"Illes Balears","Illes Balears","Año 2016","5268.0"
"Illes Balears","Illes Balears","Año 2017","5412.0"
"Illes Balears","Illes Balears","Año 2018","5352.0"
"Illes Balears","Illes Balears","Año 2019","6493.0"
"Illes Balears","Illes Balears","Año 2020","5880.0"
"Illes Balears","Illes Balears","Año 2021","4734.0"
"Canarias","Las Palmas","Año 2009","5163.0"
"Canarias","Las Palmas","Año 2010","4729.0"
"Canarias","Las Palmas","Año 2011","4534.0"
"Canarias","Las Palmas","Año 2012","4230.0"
"Canarias","Las Palmas","Año 2013","3958.0"
"Canarias","Las Palmas","Año 2014","3845.0"
"Canarias","Las Palmas","Año 2015","3994.0"
"Canarias","Las Palmas","Año 2016","4803.0"
"Canarias","Las Palmas","Año 2017","4966.0"
"Canarias","Las Palmas","Año 2018","4573.0"
"Canarias","Las Palmas","Año 2019","5433.0"
"Canarias","Las Palmas","Año 2020","4982.0"
"Canarias","Las Palmas","Año 2021","3701.0"
"Canarias","Santa Cruz de Tenerife","Año 2009","3819.0"
"Canarias","Santa Cruz de Tenerife","Año 2010","3597.0"
"Canarias","Santa Cruz de Tenerife","Año 2011","3515.0"
"Canarias","Santa Cruz de Tenerife","Año 2012","3471.0"
"Canarias","Santa Cruz de Tenerife","Año 2013","3153.0"
"Canarias","Santa Cruz de Tenerife","Año 2014","3091.0"
"Canarias","Santa Cruz de Tenerife","Año 2015","3764.0"
"Canarias","Santa Cruz de Tenerife","Año 2016","4601.0"
"Canarias","Santa Cruz de Tenerife","Año 2017","4037.0"
"Canarias","Santa Cruz de Tenerife","Año 2018","3769.0"
"Canarias","Santa Cruz de Tenerife","Año 2019","4353.0"
"Canarias","Santa Cruz de Tenerife","Año 2020","3944.0"
"Canarias","Santa Cruz de Tenerife","Año 2021","3013.0"
"Cantabria","Cantabria","Año 2009","1172.0"
"Cantabria","Cantabria","Año 2010","1231.0"
"Cantabria","Cantabria","Año 2011","1168.0"
"Cantabria","Cantabria","Año 2012","1106.0"
"Cantabria","Cantabria","Año 2013","1137.0"
"Cantabria","Cantabria","Año 2014","1230.0"
"Cantabria","Cantabria","Año 2015","1327.0"
"Cantabria","Cantabria","Año 2016","1507.0"
"Cantabria","Cantabria","Año 2017","1908.0"
"Cantabria","Cantabria","Año 2018","2000.0"
"Cantabria","Cantabria","Año 2019","2004.0"
"Cantabria","Cantabria","Año 2020","1668.0"
"Cantabria","Cantabria","Año 2021","1362.0"
"Castilla y León","Ávila","Año 2009","430.0"
"Castilla y León","Ávila","Año 2010","445.0"
"Castilla y León","Ávila","Año 2011","332.0"
"Castilla y León","Ávila","Año 2012","316.0"
"Castilla y León","Ávila","Año 2013","233.0"
"Castilla y León","Ávila","Año 2014","274.0"
"Castilla y León","Ávila","Año 2015","283.0"
"Castilla y León","Ávila","Año 2016","241.0"
"Castilla y León","Ávila","Año 2017","300.0"
"Castilla y León","Ávila","Año 2018","321.0"
"Castilla y León","Ávila","Año 2019","428.0"
"Castilla y León","Ávila","Año 2020","291.0"
"Castilla y León","Ávila","Año 2021","289.0"
"Castilla y León","Burgos","Año 2009","798.0"
"Castilla y León","Burgos","Año 2010","653.0"
"Castilla y León","Burgos","Año 2011","676.0"
"Castilla y León","Burgos","Año 2012","624.0"
"Castilla y León","Burgos","Año 2013","587.0"
"Castilla y León","Burgos","Año 2014","680.0"
"Castilla y León","Burgos","Año 2015","621.0"
"Castilla y León","Burgos","Año 2016","763.0"
"Castilla y León","Burgos","Año 2017","845.0"
"Castilla y León","Burgos","Año 2018","790.0"
"Castilla y León","Burgos","Año 2019","876.0"
"Castilla y León","Burgos","Año 2020","768.0"
"Castilla y León","Burgos","Año 2021","642.0"
"Castilla y León","León","Año 2009","839.0"
"Castilla y León","León","Año 2010","818.0"
"Castilla y León","León","Año 2011","847.0"
"Castilla y León","León","Año 2012","705.0"
"Castilla y León","León","Año 2013","822.0"
"Castilla y León","León","Año 2014","920.0"
"Castilla y León","León","Año 2015","984.0"
"Castilla y León","León","Año 2016","1010.0"
"Castilla y León","León","Año 2017","1024.0"
"Castilla y León","León","Año 2018","1002.0"
"Castilla y León","León","Año 2019","938.0"
"Castilla y León","León","Año 2020","879.0"
"Castilla y León","León","Año 2021","658.0"
"Castilla y León","Palencia","Año 2009","284.0"
"Castilla y León","Palencia","Año 2010","315.0"
"Castilla y León","Palencia","Año 2011","290.0"
"Castilla y León","Palencia","Año 2012","250.0"
"Castilla y León","Palencia","Año 2013","330.0"
"Castilla y León","Palencia","Año 2014","181.0"
"Castilla y León","Palencia","Año 2015","204.0"
"Castilla y León","Palencia","Año 2016","256.0"
"Castilla y León","Palencia","Año 2017","404.0"
"Castilla y León","Palencia","Año 2018","307.0"
"Castilla y León","Palencia","Año 2019","323.0"
"Castilla y León","Palencia","Año 2020","251.0"
"Castilla y León","Palencia","Año 2021","238.0"
"Castilla y León","Salamanca","Año 2009","573.0"
"Castilla y León","Salamanca","Año 2010","504.0"
"Castilla y León","Salamanca","Año 2011","469.0"
"Castilla y León","Salamanca","Año 2012","419.0"
"Castilla y León","Salamanca","Año 2013","312.0"
"Castilla y León","Salamanca","Año 2014","342.0"
"Castilla y León","Salamanca","Año 2015","284.0"
"Castilla y León","Salamanca","Año 2016","313.0"
"Castilla y León","Salamanca","Año 2017","666.0"
"Castilla y León","Salamanca","Año 2018","655.0"
"Castilla y León","Salamanca","Año 2019","508.0"
"Castilla y León","Salamanca","Año 2020","432.0"
"Castilla y León","Salamanca","Año 2021","288.0"
"Castilla y León","Segovia","Año 2009","273.0"
"Castilla y León","Segovia","Año 2010","231.0"
"Castilla y León","Segovia","Año 2011","209.0"
"Castilla y León","Segovia","Año 2012","246.0"
"Castilla y León","Segovia","Año 2013","216.0"
"Castilla y León","Segovia","Año 2014","216.0"
"Castilla y León","Segovia","Año 2015","224.0"
"Castilla y León","Segovia","Año 2016","259.0"
"Castilla y León","Segovia","Año 2017","330.0"
"Castilla y León","Segovia","Año 2018","352.0"
"Castilla y León","Segovia","Año 2019","421.0"
"Castilla y León","Segovia","Año 2020","518.0"
"Castilla y León","Segovia","Año 2021","373.0"
"Castilla y León","Soria","Año 2009","171.0"
"Castilla y León","Soria","Año 2010","137.0"
"Castilla y León","Soria","Año 2011","128.0"
"Castilla y León","Soria","Año 2012","113.0"
"Castilla y León","Soria","Año 2013","104.0"
"Castilla y León","Soria","Año 2014","142.0"
"Castilla y León","Soria","Año 2015","118.0"
"Castilla y León","Soria","Año 2016","108.0"
"Castilla y León","Soria","Año 2017","137.0"
"Castilla y León","Soria","Año 2018","138.0"
"Castilla y León","Soria","Año 2019","158.0"
"Castilla y León","Soria","Año 2020","175.0"
"Castilla y León","Soria","Año 2021","121.0"
"Castilla y León","Valladolid","Año 2009","1429.0"
"Castilla y León","Valladolid","Año 2010","1055.0"
"Castilla y León","Valladolid","Año 2011","1493.0"
"Castilla y León","Valladolid","Año 2012","1155.0"
"Castilla y León","Valladolid","Año 2013","1302.0"
"Castilla y León","Valladolid","Año 2014","2062.0"
"Castilla y León","Valladolid","Año 2015","1589.0"
"Castilla y León","Valladolid","Año 2016","1374.0"
"Castilla y León","Valladolid","Año 2017","1395.0"
"Castilla y León","Valladolid","Año 2018","1360.0"
"Castilla y León","Valladolid","Año 2019","1323.0"
"Castilla y León","Valladolid","Año 2020","1155.0"
"Castilla y León","Valladolid","Año 2021","998.0"
"Castilla y León","Zamora","Año 2009","293.0"
"Castilla y León","Zamora","Año 2010","269.0"
"Castilla y León","Zamora","Año 2011","318.0"
"Castilla y León","Zamora","Año 2012","304.0"
"Castilla y León","Zamora","Año 2013","247.0"
"Castilla y León","Zamora","Año 2014","315.0"
"Castilla y León","Zamora","Año 2015","337.0"
"Castilla y León","Zamora","Año 2016","309.0"
"Castilla y León","Zamora","Año 2017","309.0"
"Castilla y León","Zamora","Año 2018","314.0"
"Castilla y León","Zamora","Año 2019","295.0"
"Castilla y León","Zamora","Año 2020","290.0"
"Castilla y León","Zamora","Año 2021","230.0"
"Castilla - La Mancha","Albacete","Año 2009","959.0"
"Castilla - La Mancha","Albacete","Año 2010","942.0"
"Castilla - La Mancha","Albacete","Año 2011","884.0"
"Castilla - La Mancha","Albacete","Año 2012","704.0"
"Castilla - La Mancha","Albacete","Año 2013","810.0"
"Castilla - La Mancha","Albacete","Año 2014","808.0"
"Castilla - La Mancha","Albacete","Año 2015","797.0"
"Castilla - La Mancha","Albacete","Año 2016","817.0"
"Castilla - La Mancha","Albacete","Año 2017","820.0"
"Castilla - La Mancha","Albacete","Año 2018","901.0"
"Castilla - La Mancha","Albacete","Año 2019","969.0"
"Castilla - La Mancha","Albacete","Año 2020","943.0"
"Castilla - La Mancha","Albacete","Año 2021","770.0"
"Castilla - La Mancha","Ciudad Real","Año 2009","1080.0"
"Castilla - La Mancha","Ciudad Real","Año 2010","1171.0"
"Castilla - La Mancha","Ciudad Real","Año 2011","1143.0"
"Castilla - La Mancha","Ciudad Real","Año 2012","1138.0"
"Castilla - La Mancha","Ciudad Real","Año 2013","1130.0"
"Castilla - La Mancha","Ciudad Real","Año 2014","1149.0"
"Castilla - La Mancha","Ciudad Real","Año 2015","1194.0"
"Castilla - La Mancha","Ciudad Real","Año 2016","1659.0"
"Castilla - La Mancha","Ciudad Real","Año 2017","1441.0"
"Castilla - La Mancha","Ciudad Real","Año 2018","1722.0"
"Castilla - La Mancha","Ciudad Real","Año 2019","1744.0"
"Castilla - La Mancha","Ciudad Real","Año 2020","1500.0"
"Castilla - La Mancha","Ciudad Real","Año 2021","1100.0"
"Castilla - La Mancha","Cuenca","Año 2009","405.0"
"Castilla - La Mancha","Cuenca","Año 2010","447.0"
"Castilla - La Mancha","Cuenca","Año 2011","607.0"
"Castilla - La Mancha","Cuenca","Año 2012","492.0"
"Castilla - La Mancha","Cuenca","Año 2013","421.0"
"Castilla - La Mancha","Cuenca","Año 2014","361.0"
"Castilla - La Mancha","Cuenca","Año 2015","437.0"
"Castilla - La Mancha","Cuenca","Año 2016","369.0"
"Castilla - La Mancha","Cuenca","Año 2017","353.0"
"Castilla - La Mancha","Cuenca","Año 2018","415.0"
"Castilla - La Mancha","Cuenca","Año 2019","584.0"
"Castilla - La Mancha","Cuenca","Año 2020","421.0"
"Castilla - La Mancha","Cuenca","Año 2021","319.0"
"Castilla - La Mancha","Guadalajara","Año 2009","1354.0"
"Castilla - La Mancha","Guadalajara","Año 2010","1552.0"
"Castilla - La Mancha","Guadalajara","Año 2011","979.0"
"Castilla - La Mancha","Guadalajara","Año 2012","715.0"
"Castilla - La Mancha","Guadalajara","Año 2013","699.0"
"Castilla - La Mancha","Guadalajara","Año 2014","560.0"
"Castilla - La Mancha","Guadalajara","Año 2015","669.0"
"Castilla - La Mancha","Guadalajara","Año 2016","667.0"
"Castilla - La Mancha","Guadalajara","Año 2017","558.0"
"Castilla - La Mancha","Guadalajara","Año 2018","770.0"
"Castilla - La Mancha","Guadalajara","Año 2019","948.0"
"Castilla - La Mancha","Guadalajara","Año 2020","949.0"
"Castilla - La Mancha","Guadalajara","Año 2021","832.0"
"Castilla - La Mancha","Toledo","Año 2009","1572.0"
"Castilla - La Mancha","Toledo","Año 2010","1553.0"
"Castilla - La Mancha","Toledo","Año 2011","1297.0"
"Castilla - La Mancha","Toledo","Año 2012","1262.0"
"Castilla - La Mancha","Toledo","Año 2013","1299.0"
"Castilla - La Mancha","Toledo","Año 2014","1405.0"
"Castilla - La Mancha","Toledo","Año 2015","1537.0"
"Castilla - La Mancha","Toledo","Año 2016","1219.0"
"Castilla - La Mancha","Toledo","Año 2017","1931.0"
